id,question,slug,endDate,outcomes,outcomePrices,active,acceptingOrders,volumeNum,liquidityNum,liquidityClob,liquidity,book_bids,book_asks,book_bid_sum,book_ask_sum,book_bid_size_sum,book_ask_size_sum,book_underround,book_overround,outcomes_list,outcomePrices_list,price_yes,price_no,ask_sum,sum_off,sum_bad,degenerate_prices,bestBid_num,bestAsk_num,mid,rel_spread,crossed_or_zero,stale_yes_ask,yes_on_tick,no_on_tick,liquidity_num
516968,Will Mistral AI have the top AI model on December 31?,will-mistral-ai-have-the-top-ai-model-on-december-31,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0025"", ""0.9975""]",True,True,282168.915994,34884.72971,34884.72971,34884.72971,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,12328992.540000001,12328992.540000001,0.0,0.0,"['Yes', 'No']","[0.0025, 0.9975]",0.0025,0.9975,1.0,0.0,False,False,0.001,0.004,0.0025,1.2,False,False,False,False,34884.72971
516965,Will DeepSeek have the top AI model on December 31?,will-deepseek-have-the-top-ai-model-on-december-31,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0135"", ""0.9865""]",True,True,771272.677726,34428.30556,34428.30556,34428.30556,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,11493831.13,11493831.13,0.0,0.0,"['Yes', 'No']","[0.0135, 0.9865]",0.0135,0.9865,1.0,0.0,False,False,0.012,0.015,0.0135,0.22222222222222215,False,False,False,False,34428.30556
516969,Will Microsoft have the top AI model on December 31?,will-microsoft-have-the-top-ai-model-on-december-31,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",True,True,422237.317262,98478.87328,98478.87328,98478.87328,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,11113235.91,11113235.91,0.0,0.0,"['Yes', 'No']","[0.0015, 0.9985]",0.0015,0.9985,1.0,0.0,False,False,0.001,0.002,0.0015,0.6666666666666666,False,False,False,False,98478.87328
516970,Will Z.ai have the top AI model on December 31?,will-zai-have-the-top-ai-model-on-december-31,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0025"", ""0.9975""]",True,True,232116.171713,39274.39055,39274.39055,39274.39055,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,6259246.4,6259246.4,0.0,0.0,"['Yes', 'No']","[0.0025, 0.9975]",0.0025,0.9975,1.0,0.0,False,False,0.001,0.004,0.0025,1.2,False,False,False,False,39274.39055
516971,Will Tencent have the top AI model on December 31?,will-tencent-have-the-top-ai-model-on-december-31,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.002"", ""0.998""]",True,True,303463.426992,57927.29632,57927.29632,57927.29632,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,11169460.47,11169460.47,0.0,0.0,"['Yes', 'No']","[0.002, 0.998]",0.002,0.998,1.0,0.0,False,False,0.001,0.003,0.002,1.0,False,False,True,True,57927.29632
516972,Will Moonshot have the top AI model on December 31?,will-moonshot-have-the-top-ai-model-on-december-31,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0045"", ""0.9955""]",True,True,313422.421692,38479.75997,38479.75997,38479.75997,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,11148608.52,11148608.52,0.0,0.0,"['Yes', 'No']","[0.0045, 0.9955]",0.0045,0.9955,1.0,0.0,False,False,0.003,0.006,0.0045000000000000005,0.6666666666666666,False,False,False,False,38479.75997
516861,"Will Bitcoin reach $1,000,000 by December 31, 2025?",will-bitcoin-reach-1000000-by-december-31-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0045"", ""0.9955""]",True,True,4323461.018091,183694.46168,183694.46168,183694.46168,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,22514634.39,22514634.39,0.0,0.0,"['Yes', 'No']","[0.0045, 0.9955]",0.0045,0.9955,1.0,0.0,False,False,0.004,0.005,0.0045000000000000005,0.2222222222222222,False,False,False,False,183694.46168
516862,"Will Bitcoin reach $250,000 by December 31, 2025?",will-bitcoin-reach-250000-by-december-31-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0125"", ""0.9875""]",True,True,4551872.104339,187928.8982,187928.8982,187928.8982,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,12430049.45,12430049.45,0.0,0.0,"['Yes', 'No']","[0.0125, 0.9875]",0.0125,0.9875,1.0,0.0,False,False,0.012,0.013,0.0125,0.07999999999999993,False,False,False,False,187928.8982
516863,"Will Bitcoin reach $200,000 by December 31, 2025?",will-bitcoin-reach-200000-by-december-31-2025,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.0185"", ""0.9815""]",True,True,8068340.913735,237166.00442,237166.00442,237166.00442,"[0.001, 0.001]","[0.999, 0.999]",0.002,1.998,14248957.0,14248957.0,0.0,0.0,"['Yes', 'No']","[0.0185, 0.9815]",0.0185,0.9815,1.0,0.0,False,False,0.018,0.019,0.0185,0.054054054054054106,False,False,False,False,237166.00442
516864,"Will Bitcoin reach $150,000 by December 31, 2025?",will-bitcoin-reach-150000-by-december-31-2025-188,2025-12-31T12:00:00Z,"[""Yes"", ""No""]","[""0.065"", ""0.935""]",True,True,8707420.398627,210920.9189,210920.9189,210920.9189,"[0.01, 0.01]","[0.99, 0.99]",0.02,1.98,1779667.5499999998,1779667.5499999998,0.0,0.0,"['Yes', 'No']","[0.065, 0.935]",0.065,0.935,1.0,0.0,False,False,0.06,0.07,0.065,0.15384615384615397,False,True,False,False,210920.9189
